date,house3_average,house3_max,house3_min,house3_median,house4_average,house4_max,house4_min,house4_median,house3solar_average,house3solar_max,house3solar_min,house3solar_median
2023-05-17,1124.1604164032453,7448.12,476.88,879.9820175438596,764.2061429356988,4432.826666666667,-1218.5066666666667,627.4866666666667,293.42449258706944,1346.737089,0.0,0.0
2023-05-18,1175.198322565987,3675.52,478.5945945945946,854.5333333333333,907.8579631205453,4423.333333333333,-1002.7066666666666,628.0866666666666,153.12282174124306,1123.565421,0.0,0.0
2023-05-19,1194.2920677256202,3815.84,553.6933333333333,873.6399999999999,436.40399012499336,3833.3333333333326,-1346.16,585.8399999999999,155.20587740194793,1414.75,0.0,0.0
2023-05-20,1058.4327467763817,2240.64,670.7066666666666,1027.8600000000001,654.6145547356567,3323.364864864865,-1012.7466666666666,556.1333333333332,166.67801826061805,1390.509434,0.0,0.0
2023-05-21,1147.1901259647805,4099.346666666666,568.92,1026.1533333333332,838.091819352247,4639.493333333333,-1019.2933333333332,578.0999999999999,158.47559939126043,1254.348837,0.0,0.0
2023-05-22,1173.4550463456878,3551.4666666666662,567.84,933.4666666666665,608.6694834637269,4264.346666666666,-1010.2666666666667,605.2,261.08053956987845,1235.408451,0.0,0.0
2023-05-23,926.8441684600889,2018.76,503.28,862.8666666666666,471.98164287836596,3621.053333333333,-1037.9594594594594,588.3933333333332,238.59586775362152,1256.311321,0.0,0.0
2023-05-24,927.9973260431484,1948.6533333333332,499.46666666666664,850.0666666666666,490.16406090300825,3690.7432432432433,-1018.84,570.9628070175438,244.6024012607639,1238.481308,0.0,0.0
2023-05-25,1168.222123982535,4112.72,509.44,931.4799999999998,823.881352367615,4246.4,-1001.96,752.7266666666667,80.3370531076875,837.5162791,0.0,0.0
2023-05-26,1412.025286585928,4299.773333333333,485.89473684210526,982.6066666666666,557.6173573547802,5583.64,-2410.0,548.3066666666666,203.28104212902778,1472.71028,0.0,0.0
2023-05-27,1400.6648382099204,4679.44,565.8026315789474,1011.7542342342342,2813.562694078187,11062.04,-1431.68,1324.2466666666664,138.1143162651979,1498.739535,0.0,0.0
2023-05-28,1236.5665796486055,3636.68,588.9066666666666,1101.7466666666667,981.3427199827037,4184.426666666666,-1706.52,960.4066666666665,115.18649337560416,1377.244131,0.0,0.0
2023-05-29,1219.7044283428163,5727.6,513.24,848.7666666666667,561.0184134792687,3004.28,-2340.0,555.1866666666666,145.76215157220835,1281.420561,0.0,0.0
2023-05-30,1099.7243003529845,4014.453333333333,553.88,921.2666666666667,687.3133696525472,2236.9466666666663,-1461.7066666666667,623.4066666666666,93.40842690938888,1184.837209,0.0,0.0
2023-05-31,1251.13793496055,5294.4729729729725,518.6,873.0666666666666,878.9199620419065,4842.96,-1027.0533333333333,643.9466666666666,68.47327296251389,786.7757009,0.0,0.0
2023-06-01,1321.4995199969705,4701.333333333333,564.6266666666667,1207.38,1070.2246296260867,5146.346666666666,-1023.4533333333331,1246.50649122807,161.81202958099652,1278.943925,0.0,0.0
2023-06-02,1622.894202656604,4051.7466666666664,641.72,1372.4333333333334,516.7103450983878,2892.853333333333,-1004.8026315789472,570.6666666666666,190.58777591976735,1229.28972,0.0,0.0
2023-06-03,1203.5582508495336,4208.0,497.82666666666665,964.5199999999999,1004.5408325292598,4899.613333333333,-1024.6666666666665,1120.3801369863013,87.83252167693055,1068.627358,0.0,0.0
2023-06-04,1269.3957409053792,5611.453333333333,539.32,936.6799999999998,948.1939765244946,5590.876712328767,-1009.7702702702702,638.3757142857144,226.73495563964582,1161.277778,0.0,0.0
